Airline,Flight_Distance,Departure_Delay,Arrival_Delay
SpiceJet,555,26.8,44.65
GoAir,1547,18.48,35.57
Vistara,2063,45.15,40.09
GoAir,326,24.6,4.17
GoAir,803,7.9,10.44
IndiGo,2128,25.03,45.95
Vistara,1213,27.49,33.52
Vistara,250,0.0,1.89
Vistara,1630,43.74,45.04
GoAir,1992,7.48,0.0
SpiceJet,1836,8.12,0.25
Vistara,1845,33.78,12.39
GoAir,2667,33.68,35.62
IndiGo,1405,0.0,15.71
SpiceJet,2054,35.07,27.24
IndiGo,766,0.99,0.0
SpiceJet,2618,60.49,47.05
GoAir,1135,0.0,0.0
Air India,2134,20.99,7.75
SpiceJet,2908,0.0,10.08
IndiGo,1532,70.57,43.03
GoAir,401,0.0,0.0
SpiceJet,2560,28.11,4.51
Air India,316,0.0,0.0
Air India,1136,6.15,13.02
Vistara,774,26.34,25.69
Vistara,2491,45.61,38.44
IndiGo,736,55.58,52.73
SpiceJet,1825,0.0,22.88
SpiceJet,2322,21.69,11.3
Vistara,585,51.49,47.14
SpiceJet,674,0.0,0.0
SpiceJet,617,22.86,41.68
Air India,2594,14.95,0.0
Vistara,2887,25.36,12.1
GoAir,1138,0.0,0.0
Vistara,1154,0.0,0.0
GoAir,1075,0.0,5.49
Air India,962,39.41,35.8
IndiGo,1402,42.6,31.98
SpiceJet,1405,22.57,0.0
Air India,863,1.65,35.9
SpiceJet,224,0.0,13.24
IndiGo,2190,29.08,64.87
IndiGo,1403,0.0,0.0
Air India,909,0.0,19.37
IndiGo,2079,0.34,16.92
GoAir,1384,10.06,7.68
IndiGo,2424,0.0,26.17
SpiceJet,484,15.84,10.0
SpiceJet,262,0.0,0.0
SpiceJet,1202,32.53,0.0
SpiceJet,861,40.78,39.68
GoAir,2913,17.71,0.0
Vistara,2403,26.57,15.34
Air India,1692,67.95,37.17
SpiceJet,1166,0.0,0.0
IndiGo,1048,0.0,11.66
SpiceJet,1307,32.37,27.83
IndiGo,888,63.66,60.21
IndiGo,347,8.49,29.93
SpiceJet,541,58.17,40.19
GoAir,2723,17.41,10.01
IndiGo,1286,0.0,19.37
IndiGo,1924,0.0,20.56
SpiceJet,1583,30.74,37.62
IndiGo,2808,0.0,0.0
IndiGo,526,17.03,23.26
SpiceJet,1992,54.59,44.85
SpiceJet,1959,7.33,25.92
Air India,1189,47.85,29.9
GoAir,2462,0.0,0.0
GoAir,2682,1.65,16.51
IndiGo,1151,0.0,0.0
GoAir,922,16.82,5.8
IndiGo,2279,34.5,13.8
Air India,2917,16.88,1.37
SpiceJet,2532,45.68,25.74
SpiceJet,628,0.0,23.26
SpiceJet,1700,20.63,31.75
GoAir,485,1.81,2.49
Air India,2265,24.04,38.83
GoAir,968,27.59,8.38
GoAir,2837,29.56,7.72
Air India,1594,0.0,17.95
Air India,393,0.0,13.69
Air India,2749,0.0,0.0
Air India,1187,9.03,0.0
SpiceJet,1336,17.18,38.92
Vistara,2361,32.7,2.09
Vistara,1901,0.0,0.0
Air India,1146,0.0,8.43
Vistara,1030,68.89,80.26
Vistara,2120,0.0,10.75
Air India,254,35.91,37.34
Vistara,999,15.78,7.51
GoAir,977,21.28,28.43
IndiGo,1681,14.96,17.05
IndiGo,2101,5.38,0.0
Air India,2409,26.6,35.51
SpiceJet,2334,4.04,22.38
Air India,254,44.16,47.96
SpiceJet,2023,29.21,25.95
IndiGo,1401,29.99,11.65
Air India,1032,2.32,0.0
GoAir,512,9.09,13.72
Vistara,2058,0.0,21.23
SpiceJet,2207,6.17,24.26
Vistara,2206,0.0,17.24
Vistara,2690,47.83,37.37
Air India,1990,16.26,32.7
Vistara,527,19.26,32.35
GoAir,2826,9.37,5.22
Vistara,1487,19.94,29.11
Air India,2343,76.62,50.6
GoAir,1311,7.5,18.35
IndiGo,1511,0.0,0.0
Vistara,2738,28.24,6.44
Air India,651,0.0,20.87
IndiGo,1723,16.6,30.68
IndiGo,364,5.71,18.5
SpiceJet,381,0.0,6.32
GoAir,2716,27.69,0.0
Vistara,1109,16.35,15.32
Air India,2982,0.0,11.81
SpiceJet,1022,0.0,0.0
GoAir,1143,0.0,0.0
SpiceJet,2201,22.33,42.3
GoAir,2254,22.08,19.55
GoAir,529,0.0,11.82
Vistara,974,28.5,36.56
GoAir,2398,0.0,0.0
SpiceJet,346,0.0,7.9
GoAir,1114,25.43,42.6
Vistara,1771,0.0,32.29
Vistara,1508,13.43,15.0
SpiceJet,2947,0.91,2.07
IndiGo,281,4.73,12.34
IndiGo,713,5.82,12.73
GoAir,2120,0.0,25.8
Air India,2956,22.56,5.85
GoAir,2139,0.0,0.8
SpiceJet,945,15.39,0.0
SpiceJet,1609,0.0,0.0
SpiceJet,906,0.0,10.65
SpiceJet,670,37.81,43.62
SpiceJet,595,27.49,14.5
Vistara,1755,72.22,67.13
IndiGo,2508,0.0,21.67
SpiceJet,1004,9.78,40.86
Air India,1133,11.79,14.3
Air India,1479,39.73,23.22
Air India,1957,2.32,0.0
Air India,1104,0.0,0.0
Vistara,1276,45.2,55.38
Air India,2090,7.08,0.0
SpiceJet,1723,36.97,49.14
GoAir,1587,34.05,15.81
Air India,1503,14.25,4.7
Vistara,792,10.64,10.18
Vistara,2961,5.21,0.0
Air India,2879,14.62,29.21
GoAir,2306,36.58,57.8
Air India,327,0.0,0.0
Vistara,935,17.72,10.92
IndiGo,2968,0.0,2.55
SpiceJet,2773,0.0,13.12
Vistara,720,14.23,12.66
Air India,2799,0.0,25.81
SpiceJet,436,66.51,68.76
Air India,1504,0.0,0.0
Air India,1981,14.0,22.61
IndiGo,1501,44.21,58.75
SpiceJet,2741,0.0,0.0
SpiceJet,2251,0.0,0.59
IndiGo,2913,3.88,0.0
Vistara,641,0.0,0.0
Air India,2276,0.0,0.0
GoAir,2857,22.12,0.56
Air India,1004,20.18,20.29
Air India,274,43.56,58.19
Vistara,2375,0.0,0.0
Air India,2289,0.0,0.0
IndiGo,1579,4.83,33.91
IndiGo,240,12.79,0.0
SpiceJet,2281,38.03,6.7
GoAir,1900,50.26,27.76
Air India,1601,45.36,26.81
Air India,787,21.91,0.0
Vistara,1822,34.99,27.57
IndiGo,541,0.0,19.23
GoAir,2274,19.21,0.0
SpiceJet,845,0.0,6.31
IndiGo,930,16.57,22.54
SpiceJet,367,17.22,15.8
Vistara,809,58.05,48.42
Vistara,2515,9.28,14.45
Air India,1972,17.25,4.88
GoAir,2240,20.92,42.13
SpiceJet,654,3.63,26.26
IndiGo,1908,0.0,22.85
Vistara,901,47.47,53.43
Air India,2881,0.0,0.0
Air India,1799,0.0,18.89
SpiceJet,329,32.01,37.24
Vistara,2045,43.95,12.71
GoAir,1586,3.71,4.38
Vistara,892,4.1,12.02
SpiceJet,1594,22.06,45.41
SpiceJet,993,0.0,15.87
Vistara,228,0.0,0.0
SpiceJet,348,36.99,56.32
Vistara,1519,30.18,26.78
IndiGo,2258,47.78,34.61
Vistara,2923,0.0,0.09
Vistara,1336,2.44,0.0
SpiceJet,386,22.03,18.77
SpiceJet,2991,0.0,12.46
Air India,1450,31.04,20.95
Air India,1533,45.62,43.24
IndiGo,297,0.42,0.0
Air India,254,15.96,14.06
Vistara,2870,51.39,45.72
SpiceJet,2911,59.98,49.83
Air India,957,33.65,4.47
Air India,605,29.84,19.3
IndiGo,2316,0.0,30.16
IndiGo,1512,23.98,14.4
Vistara,1985,28.92,25.48
SpiceJet,950,9.74,10.52
IndiGo,1962,0.13,28.62
Air India,564,0.0,24.36
SpiceJet,2226,0.0,17.11
SpiceJet,681,0.0,0.0
Air India,2448,29.49,31.03
IndiGo,353,18.69,26.6
Air India,1724,2.9,0.0
SpiceJet,2320,6.71,0.0
GoAir,2960,20.26,44.76
GoAir,2543,10.89,8.11
Vistara,1240,0.0,29.22
Air India,1864,37.83,46.43
Air India,1440,22.6,26.94
Vistara,260,21.65,26.94
Vistara,1138,35.94,9.15
Vistara,1839,0.0,8.1
SpiceJet,2289,45.34,58.0
Air India,224,11.5,23.27
SpiceJet,1262,37.21,33.37
Vistara,330,33.36,54.03
Air India,1452,0.0,2.22
SpiceJet,307,27.57,15.01
SpiceJet,371,23.16,23.52
Vistara,1658,15.76,27.53
Air India,301,12.64,0.0
Vistara,2771,12.85,18.27
Air India,2522,35.32,41.88
GoAir,1836,29.45,21.57
IndiGo,1240,15.76,32.64
IndiGo,529,0.0,14.62
IndiGo,1720,27.36,56.27
Vistara,211,33.09,16.9
GoAir,1541,72.51,68.22
Air India,415,41.89,19.06
SpiceJet,538,0.0,0.0
Air India,1999,16.96,0.0
SpiceJet,2908,60.28,55.27
Air India,1950,30.59,29.18
GoAir,1708,23.22,14.07
SpiceJet,2621,37.51,4.65
Vistara,909,0.0,0.0
Air India,1423,26.95,23.93
Air India,2713,8.74,23.01
SpiceJet,1312,14.51,14.91
Vistara,1491,35.71,33.78
Vistara,688,0.0,0.0
GoAir,1761,47.2,64.28
Vistara,246,4.43,0.0
Vistara,977,21.52,9.57
Vistara,1239,0.0,0.0
IndiGo,910,33.0,36.24
GoAir,600,51.16,25.23
Air India,2017,2.13,8.53
SpiceJet,449,0.0,7.47
Air India,590,21.95,9.95
GoAir,534,51.37,45.91
SpiceJet,828,0.0,0.0
GoAir,336,0.0,0.0
Vistara,2935,3.65,9.05
SpiceJet,1721,0.0,0.0
Vistara,1026,0.0,0.0
Air India,926,0.0,12.99
Air India,1700,29.73,41.54
SpiceJet,2841,23.47,14.43
SpiceJet,1189,0.0,0.0
GoAir,2619,51.43,56.08
GoAir,1134,57.03,27.74
Vistara,601,0.0,0.0
SpiceJet,1666,44.16,46.53
Air India,814,0.68,5.61
GoAir,1496,19.53,34.64
GoAir,1382,0.0,0.0
