Age,Income,Gender,Education,Purchased
56,29930,Male,Masters,0
69,23285,Male,PhD,0
46,55863,Male,PhD,0
32,36704,Female,Bachelors,0
60,38705,Male,Bachelors,1
25,20555,Male,PhD,0
38,41323,Female,Bachelors,0
56,90968,Female,PhD,1
36,86922,Female,Masters,1
40,73915,Male,Bachelors,1
28,30619,Female,Bachelors,0
28,92390,Female,PhD,1
41,79274,Female,Masters,1
53,93173,Male,Bachelors,0
57,41225,Male,Bachelors,1
41,46739,Female,PhD,1
20,67708,Male,Masters,0
39,73019,Male,PhD,1
19,96154,Male,Masters,0
41,27373,Male,Masters,1
61,55281,Male,PhD,1
47,40187,Female,PhD,1
55,87863,Female,Masters,0
19,117927,Female,PhD,1
38,104085,Female,Bachelors,1
50,59220,Male,Bachelors,1
29,27642,Female,Bachelors,1
39,99971,Female,Bachelors,0
61,75556,Male,Bachelors,1
42,53760,Male,PhD,1
66,58192,Male,Masters,1
44,24381,Male,PhD,1
59,116583,Female,Bachelors,0
45,39558,Male,Bachelors,0
33,50782,Male,PhD,0
32,24782,Male,PhD,1
64,111417,Male,Masters,0
68,74712,Male,Bachelors,0
61,114945,Male,PhD,0
69,39462,Female,Masters,1
20,80030,Female,Bachelors,1
54,88519,Female,Bachelors,0
68,76411,Male,Bachelors,1
24,75206,Male,PhD,1
38,117469,Female,Bachelors,1
26,66950,Female,Bachelors,0
56,22523,Female,Masters,1
35,80926,Female,PhD,1
21,29677,Male,Masters,0
42,95828,Female,PhD,1
31,35089,Male,Bachelors,1
67,24581,Male,Masters,0
26,31907,Male,PhD,0
43,25609,Female,PhD,1
19,71153,Female,Bachelors,1
37,70539,Female,Bachelors,1
45,64143,Male,Masters,0
64,42936,Male,Masters,0
24,70182,Female,PhD,1
61,119524,Male,Masters,1
25,115042,Female,Bachelors,1
64,33163,Male,Masters,1
52,79758,Male,Masters,0
31,66057,Male,PhD,1
34,32537,Male,Bachelors,0
53,42419,Male,PhD,0
67,62578,Male,Bachelors,0
57,94991,Male,Bachelors,1
21,94599,Female,PhD,0
19,20834,Male,Masters,0
23,52214,Male,PhD,1
59,112934,Female,Masters,1
21,22413,Female,PhD,0
46,29505,Female,PhD,1
35,22105,Female,Masters,0
43,88104,Male,Masters,1
61,78408,Male,Masters,0
51,57679,Female,PhD,0
27,119096,Male,Masters,1
53,99731,Female,Masters,1
31,85131,Male,Masters,1
48,84280,Male,Bachelors,0
65,35762,Male,Masters,0
32,78703,Male,Masters,1
25,101434,Male,Masters,0
31,83079,Female,Bachelors,1
40,41577,Male,Bachelors,0
57,21214,Male,Masters,0
38,106339,Male,Masters,1
33,68114,Male,Masters,1
62,109234,Male,Masters,0
35,83230,Female,Bachelors,0
64,52980,Male,Masters,0
41,87194,Female,Bachelors,0
43,97806,Male,PhD,1
42,57792,Male,Bachelors,1
62,65807,Female,PhD,1
58,42301,Male,Bachelors,0
46,25141,Male,Bachelors,0
32,33777,Female,Bachelors,0
62,58346,Male,Masters,0
18,74703,Female,Bachelors,1
42,114977,Female,Masters,1
24,67819,Female,Bachelors,1
26,48469,Male,Bachelors,0
41,23845,Male,PhD,1
18,43290,Female,Bachelors,1
61,50699,Male,Masters,1
25,64252,Female,PhD,1
41,118682,Male,PhD,0
28,23293,Female,Bachelors,0
68,77089,Male,Bachelors,1
34,36608,Female,PhD,1
25,86273,Male,Masters,1
52,36619,Female,Bachelors,1
52,98006,Male,PhD,1
50,107908,Female,Masters,0
22,101653,Male,Bachelors,1
59,34779,Male,PhD,1
56,71040,Female,PhD,1
58,114830,Male,Bachelors,0
45,76325,Male,Masters,0
24,41630,Male,Masters,0
26,32178,Male,PhD,0
25,39935,Female,Masters,0
29,67258,Male,PhD,1
51,42784,Male,Bachelors,1
50,83722,Female,Masters,0
65,43027,Male,Bachelors,0
40,116544,Female,PhD,0
41,77853,Male,Bachelors,1
54,87359,Female,Masters,0
52,92388,Male,Bachelors,0
61,98608,Female,Masters,0
57,96669,Female,Masters,1
39,35111,Female,Masters,0
44,52312,Male,Masters,1
52,44161,Female,Masters,1
18,87313,Male,PhD,1
52,70374,Female,Bachelors,1
54,44014,Female,PhD,1
64,100308,Female,Bachelors,0
31,66389,Male,Bachelors,1
20,38161,Male,Bachelors,1
18,27490,Female,PhD,1
22,44502,Female,Masters,0
43,55757,Female,Masters,1
31,61111,Female,PhD,1
56,118273,Female,Masters,1
44,103245,Female,Bachelors,0
26,78645,Female,Masters,1
32,79055,Female,Masters,1
32,28998,Male,Masters,1
43,48906,Female,Bachelors,1
59,90192,Male,Masters,1
30,70477,Female,Masters,1
68,56901,Male,Masters,1
49,111271,Male,PhD,0
56,72021,Female,PhD,0
66,49092,Male,Masters,0
69,21242,Male,PhD,1
49,21831,Female,PhD,0
21,70721,Female,Bachelors,1
47,48511,Female,PhD,0
54,92782,Male,PhD,0
40,117003,Female,Masters,1
56,38302,Male,Bachelors,1
62,75568,Female,Bachelors,1
32,23232,Female,Bachelors,1
60,71507,Male,PhD,1
46,96508,Male,Masters,0
53,30683,Male,Bachelors,1
30,43664,Female,Bachelors,0
49,53172,Female,PhD,0
24,103641,Female,Bachelors,1
68,84340,Male,Masters,0
39,107236,Male,Bachelors,0
45,31017,Male,Masters,1
19,56613,Male,Masters,1
59,106130,Female,Masters,0
62,96920,Male,PhD,0
23,50348,Male,PhD,0
45,36448,Female,Masters,1
45,29491,Female,Masters,1
61,98648,Male,Bachelors,1
61,116557,Male,Bachelors,0
37,78759,Male,Bachelors,1
47,64553,Male,PhD,1
28,20968,Male,Bachelors,0
45,20368,Male,Masters,0
42,93960,Female,Masters,0
56,55010,Female,PhD,1
50,74154,Female,PhD,1
18,55851,Female,Bachelors,1
44,45496,Male,PhD,1
69,50936,Male,Masters,1
30,98858,Male,Masters,1
58,87005,Male,PhD,1
20,57493,Female,Masters,0
56,89795,Male,PhD,1
23,56390,Male,Masters,1
25,30292,Male,Bachelors,0
44,112377,Male,PhD,0
26,48365,Female,PhD,0
54,37207,Male,PhD,0
50,42912,Female,Masters,1
68,100771,Male,Bachelors,1
59,76572,Male,PhD,0
61,119083,Male,Masters,0
41,39276,Female,PhD,1
32,117459,Male,Masters,0
49,25534,Male,Bachelors,0
49,112005,Male,Masters,1
41,55670,Female,Masters,0
58,82147,Female,PhD,1
69,118099,Male,Masters,0
66,56486,Female,PhD,1
66,85557,Male,Masters,0
69,54268,Male,Bachelors,1
29,101335,Female,Masters,1
56,46336,Male,PhD,0
19,23641,Male,Masters,0
20,107132,Female,Masters,0
66,52959,Female,Bachelors,0
54,33306,Female,PhD,0
66,66182,Female,Bachelors,1
34,94123,Male,Masters,1
66,76326,Male,Bachelors,1
19,116895,Male,Masters,1
19,41498,Male,Masters,0
45,90198,Male,Bachelors,1
40,47197,Male,Bachelors,1
54,40719,Male,Masters,1
49,110201,Male,Bachelors,0
50,45032,Female,Bachelors,0
18,79624,Male,Masters,1
36,98177,Male,PhD,0
19,61964,Male,Bachelors,1
61,50028,Male,Bachelors,0
43,74646,Male,PhD,0
49,101187,Female,Bachelors,0
23,28536,Female,Masters,1
49,76747,Female,Bachelors,0
21,65712,Male,Masters,1
28,26273,Male,PhD,0
34,91820,Male,PhD,1
55,111228,Male,PhD,1
41,94353,Female,Bachelors,1
22,114491,Female,PhD,1
69,112091,Male,Bachelors,1
51,105914,Male,Bachelors,1
23,70830,Female,Bachelors,0
39,37127,Female,PhD,1
28,103488,Female,PhD,0
65,31539,Female,Bachelors,1
33,66761,Female,PhD,1
50,66219,Female,Bachelors,0
26,34692,Female,PhD,1
23,103656,Male,Masters,0
33,33334,Male,PhD,1
46,48615,Female,PhD,0
20,27903,Male,PhD,0
37,48527,Female,Bachelors,1
53,35629,Male,Bachelors,0
36,78008,Female,Masters,0
43,103276,Male,Masters,1
20,119318,Female,Masters,1
36,46708,Male,Bachelors,1
37,30860,Male,Masters,0
49,37438,Female,Masters,0
24,87300,Female,PhD,0
69,91545,Female,Masters,1
58,40842,Male,PhD,1
50,80213,Male,Bachelors,0
57,62372,Male,Bachelors,1
56,118971,Male,PhD,1
35,88906,Female,Masters,1
57,58744,Female,Bachelors,1
18,77442,Male,PhD,1
28,105990,Female,Bachelors,0
45,23650,Female,Bachelors,0
42,65117,Female,Masters,1
67,111244,Female,Bachelors,1
40,72772,Male,PhD,0
48,23190,Female,Masters,0
47,68113,Female,PhD,0
59,28789,Female,PhD,0
52,52125,Male,PhD,0
24,118695,Female,Masters,1
33,37459,Male,Bachelors,0
43,55418,Male,PhD,0
65,67085,Female,Bachelors,0
69,38768,Female,Bachelors,0
66,69961,Male,PhD,1
19,101099,Male,Bachelors,1
18,47885,Male,Masters,0
65,107421,Male,Masters,0
29,81082,Female,Bachelors,1
22,26895,Male,Bachelors,0
54,70311,Female,Masters,0
49,109494,Female,Bachelors,1
26,87067,Male,Bachelors,1
58,91017,Female,Bachelors,0
52,43932,Male,Bachelors,0
36,41360,Male,PhD,1
65,74847,Male,Bachelors,1
33,110365,Female,Masters,1
20,105468,Female,PhD,0
37,58931,Male,PhD,0
41,75823,Female,Masters,0
50,58032,Female,Bachelors,1
41,101426,Female,PhD,0
69,38807,Female,PhD,1
28,31767,Female,Bachelors,0
66,28071,Male,Bachelors,1
25,73413,Female,Masters,0
53,46149,Female,PhD,1
55,35540,Male,Bachelors,1
57,90248,Female,Bachelors,1
37,111737,Female,Masters,1
52,105435,Female,PhD,0
65,39787,Male,Bachelors,1
42,40982,Female,Masters,0
52,42606,Female,PhD,0
42,30150,Male,PhD,1
46,105929,Male,PhD,1
35,66936,Female,PhD,0
63,113286,Male,Masters,0
35,28593,Male,Bachelors,0
19,37358,Male,PhD,0
52,102143,Female,PhD,0
33,57381,Female,Bachelors,0
58,110347,Male,PhD,0
53,48074,Male,PhD,1
50,40595,Male,Bachelors,0
21,64194,Male,Bachelors,0
50,69377,Female,PhD,1
31,46853,Male,Bachelors,0
38,93719,Female,Masters,0
65,40661,Male,Masters,1
37,70493,Female,PhD,0
25,56495,Female,PhD,0
24,33703,Male,Bachelors,1
20,73080,Female,Bachelors,1
34,50815,Female,PhD,0
50,49565,Female,PhD,1
65,83321,Male,Masters,1
29,78453,Female,Bachelors,0
68,108478,Female,PhD,1
39,53161,Male,PhD,1
39,75991,Male,Bachelors,0
63,29716,Female,Bachelors,0
47,53349,Female,PhD,1
55,67098,Male,PhD,1
55,20132,Male,PhD,0
62,71990,Female,Bachelors,0
68,88921,Female,PhD,1
25,56538,Male,PhD,0
44,119279,Male,PhD,0
44,27213,Female,Masters,1
51,64223,Female,Masters,1
38,111655,Male,Bachelors,0
47,88371,Female,PhD,0
50,88274,Female,PhD,1
45,24134,Female,Bachelors,0
64,111428,Female,Bachelors,1
50,59601,Male,Bachelors,0
22,93889,Male,PhD,0
65,35690,Female,Masters,0
36,21909,Female,Bachelors,1
21,111239,Female,PhD,1
52,100032,Female,Bachelors,0
66,32062,Male,PhD,0
34,95386,Female,Bachelors,1
61,113237,Female,PhD,1
45,54731,Male,Bachelors,0
47,25153,Male,Masters,1
46,30481,Female,Bachelors,1
63,119270,Male,Bachelors,0
23,86425,Male,Masters,0
52,83600,Female,Bachelors,1
58,104981,Female,Masters,1
54,91997,Male,PhD,0
41,48205,Female,Masters,1
46,108887,Male,Masters,0
66,101542,Male,PhD,0
63,64149,Male,Masters,1
48,69112,Female,Masters,0
52,30940,Female,PhD,0
50,79010,Male,Bachelors,0
69,96794,Male,Bachelors,0
38,44485,Female,Masters,0
49,109299,Male,Bachelors,1
40,21067,Male,Bachelors,0
50,40607,Female,Masters,0
20,81597,Female,PhD,0
35,94554,Female,Bachelors,1
42,68521,Female,Masters,0
59,35187,Male,PhD,0
48,23985,Female,Bachelors,0
20,63052,Female,PhD,0
57,39563,Male,Masters,1
63,67322,Male,PhD,1
41,81245,Male,PhD,0
67,71514,Female,Masters,1
49,38608,Male,Bachelors,1
64,87262,Female,Bachelors,1
39,112118,Male,PhD,0
40,91327,Female,PhD,0
19,77225,Male,PhD,0
44,93994,Female,PhD,0
59,37221,Female,Bachelors,0
19,68506,Male,Masters,0
43,40968,Male,Masters,1
34,102606,Female,Masters,1
57,47937,Male,PhD,1
50,82435,Female,PhD,1
26,69508,Female,Masters,1
60,61831,Female,Bachelors,0
65,62933,Male,Masters,0
56,67307,Female,Bachelors,1
46,68340,Female,PhD,0
59,106338,Female,Masters,0
43,63601,Female,Masters,0
52,95956,Male,PhD,0
67,92178,Male,Bachelors,0
42,105311,Female,Masters,1
41,48754,Male,Masters,1
30,63310,Male,Bachelors,1
24,89893,Female,Masters,0
53,106799,Male,Masters,0
62,68367,Male,PhD,0
37,33201,Male,Bachelors,0
18,22739,Male,Masters,1
25,33231,Male,Masters,0
63,62495,Male,PhD,1
33,41168,Female,Masters,1
31,52624,Male,PhD,1
29,30635,Female,Masters,1
68,29964,Female,PhD,0
40,47785,Female,Bachelors,0
32,115046,Male,Bachelors,1
45,102797,Male,Masters,0
51,104790,Female,Masters,0
19,96928,Female,PhD,0
49,32336,Female,PhD,1
40,97475,Male,Bachelors,1
39,47412,Male,Masters,1
68,102212,Male,PhD,1
42,95379,Female,Bachelors,1
39,65591,Male,Bachelors,1
39,81750,Male,PhD,1
